id,state_name,district_name,season,crop,area,production
76,Maharashtra,DHULE,Kharif     ,Cotton(lint),209900,258200
77,Uttar Pradesh,JAUNPUR,Rabi       ,Wheat,209445,405486
78,Uttar Pradesh,SITAPUR,Rabi       ,Wheat,208675,372484
79,Punjab,MUKTSAR,Rabi       ,Wheat,208000,907000
80,Maharashtra,WARDHA,Kharif     ,Cotton(lint),207700,184600
81,Andhra Pradesh,GUNTUR,Kharif     ,Cotton(lint),206374,1075856
82,Punjab,FAZILKA,Rabi       ,Wheat,206000,913000
83,Maharashtra,SOLAPUR,Whole Year ,Sugarcane,205500,20049700
84,Andhra Pradesh,SRIKAKULAM,Kharif     ,Rice,205485,434806
85,Uttar Pradesh,SHAHJAHANPUR,Kharif     ,Rice,203946,572069
86,Uttar Pradesh,AZAMGARH,Kharif     ,Rice,202341,400028
87,Chhattisgarh,DHAMTARI,Kharif     ,Rice,198148,620402
88,Bihar,ROHTAS,Winter     ,Rice,196508,820981
89,Maharashtra,AMRAVATI,Kharif     ,Cotton(lint),196500,196200
90,West Bengal,MEDINIPUR WEST,Summer     ,Rice,195960,580442
91,Uttar Pradesh,BULANDSHAHR,Rabi       ,Wheat,195559,534072
92,Uttar Pradesh,MATHURA,Rabi       ,Wheat,194214,407849
93,Maharashtra,SANGLI,Rabi       ,Jowar,193200,130000
94,Uttar Pradesh,BARABANKI,Kharif     ,Rice,191884,529600
95,Maharashtra,AURANGABAD,Kharif     ,Maize,191700,175800
96,Uttar Pradesh,GORAKHPUR,Rabi       ,Wheat,190247,331410
97,West Bengal,HOOGHLY,Winter     ,Rice,190221,580845
98,Punjab,FIROZEPUR,Kharif     ,Rice,189000,733000
99,Maharashtra,BHANDARA,Kharif     ,Rice,188600,305400
100,Punjab,AMRITSAR,Rabi       ,Wheat,188000,736000
101,Punjab,FIROZEPUR,Rabi       ,Wheat,188000,877000
102,Punjab,TARN TARAN,Rabi       ,Wheat,188000,777000
103,Karnataka,BIJAPUR,Kharif     ,Arhar/Tur,187324,114783
104,Punjab,GURDASPUR,Rabi       ,Wheat,187000,627000
105,Chhattisgarh,RAIPUR,Kharif     ,Rice,186042,376312
106,Maharashtra,AHMEDNAGAR,Kharif     ,Bajra,186000,107700
107,Uttar Pradesh,KHERI,Rabi       ,Wheat,185828,498172
108,Karnataka,GULBARGA,Rabi       ,Gram,184515,155482
109,Chhattisgarh,BALOD,Kharif     ,Rice,183795,348670
110,Punjab,AMRITSAR,Kharif     ,Rice,182000,505000
111,Odisha,BALESHWAR,Winter     ,Rice,181000,362000
112,Chhattisgarh,JASHPUR,Kharif     ,Rice,180700,290404
113,Karnataka,BELGAUM,Whole Year ,Sugarcane,180571,16296533
114,West Bengal,DINAJPUR UTTAR,Winter     ,Rice,179862,466273
115,Karnataka,DAVANGERE,Kharif     ,Maize,179496,576021
116,Telangana ,KARIMNAGAR,Kharif     ,Rice,179282,632136
117,Chhattisgarh,KANKER,Kharif     ,Rice,178689,477197
118,Andhra Pradesh,SPSR NELLORE,Rabi       ,Rice,178491,736454
119,Andhra Pradesh,WEST GODAVARI,Rabi       ,Rice,177811,891011
120,Telangana ,NALGONDA,Kharif     ,Rice,177458,549765
121,Punjab,MOGA,Kharif     ,Rice,177000,815000
122,Maharashtra,PARBHANI,Rabi       ,Jowar,176600,87900
123,West Bengal,JALPAIGURI,Winter     ,Rice,176420,433939
124,Telangana ,MAHBUBNAGAR,Kharif     ,Maize,176277,317122
125,Punjab,TARN TARAN,Kharif     ,Rice,176000,540000
126,Uttar Pradesh,GHAZIPUR,Rabi       ,Wheat,175209,309379
127,Punjab,MOGA,Rabi       ,Wheat,175000,794000
128,Maharashtra,GONDIA,Kharif     ,Rice,174700,340600
129,Maharashtra,BULDHANA,Kharif     ,Cotton(lint),174300,132500
130,Uttar Pradesh,FATEHPUR,Rabi       ,Wheat,174246,341436
131,Odisha,BARGARH,Winter     ,Rice,174000,485000
132,Uttar Pradesh,LALITPUR,Rabi       ,Wheat,173401,367957
133,Punjab,GURDASPUR,Kharif     ,Rice,173000,452000
134,Karnataka,BIJAPUR,Rabi       ,Gram,171009,115021
135,Karnataka,TUMKUR,Kharif     ,Ragi,170691,323016
136,Uttar Pradesh,SIDDHARTH NAGAR,Kharif     ,Rice,170404,414082
137,Andhra Pradesh,EAST GODAVARI,Rabi       ,Rice,168045,881396
138,Uttar Pradesh,RAE BARELI,Rabi       ,Wheat,167432,270235
139,Punjab,JALANDHAR,Kharif     ,Rice,167000,616000
140,Punjab,JALANDHAR,Rabi       ,Wheat,167000,685000
141,Punjab,MANSA,Rabi       ,Wheat,166000,742000
142,Uttar Pradesh,BAHRAICH,Rabi       ,Wheat,165865,394095
143,Uttar Pradesh,MAHARAJGANJ,Kharif     ,Rice,165814,406742
144,Uttar Pradesh,BARABANKI,Rabi       ,Wheat,165449,392114
145,Uttar Pradesh,BAHRAICH,Kharif     ,Rice,165249,367679
146,Uttar Pradesh,MUZAFFARNAGAR,Kharif     ,Sugarcane,164216,11803189
147,Uttar Pradesh,SITAPUR,Kharif     ,Rice,164128,382911
148,Bihar,AURANGABAD,Winter     ,Rice,164023,619195
149,West Bengal,DINAJPUR DAKSHIN,Winter     ,Rice,163582,462884
150,Uttar Pradesh,BAREILLY,Kharif     ,Rice,162390,334361
151,Uttar Pradesh,SIDDHARTH NAGAR,Rabi       ,Wheat,161544,408222
152,Chhattisgarh,BEMETARA,Kharif     ,Rice,160884,274799
153,West Bengal,MEDINIPUR EAST,Summer     ,Rice,159819,563332
154,Odisha,BHADRAK,Winter     ,Rice,158000,222000
155,Telangana ,KHAMMAM,Kharif     ,Cotton(lint),157416,484286
156,Uttar Pradesh,KHERI,Kharif     ,Rice,155403,423318
157,Uttar Pradesh,JALAUN,Rabi       ,Wheat,155125,206239
158,Uttar Pradesh,DEORIA,Rabi       ,Wheat,155105,291133
159,Uttar Pradesh,JHANSI,Rabi       ,Wheat,155061,183641
160,Uttar Pradesh,GONDA,Rabi       ,Wheat,154990,401889
161,West Bengal,MURSHIDABAD,Kharif     ,Jute,154776,2225245
162,Maharashtra,PARBHANI,Kharif     ,Soyabean,154600,49100
163,Maharashtra,WARDHA,Kharif     ,Soyabean,154200,67100
164,Maharashtra,GADCHIROLI,Kharif     ,Rice,152800,201600
165,Maharashtra,NASHIK,Kharif     ,Bajra,152700,108900
166,Uttar Pradesh,GORAKHPUR,Kharif     ,Rice,152431,336873
167,Uttar Pradesh,MAHARAJGANJ,Rabi       ,Wheat,152333,361486
168,Uttar Pradesh,BANDA,Rabi       ,Wheat,151692,137988
169,West Bengal,BARDHAMAN,Summer     ,Rice,150267,490532
170,Punjab,HOSHIARPUR,Rabi       ,Wheat,150000,540000
171,Uttar Pradesh,MAINPURI,Rabi       ,Wheat,149855,349312
172,Bihar,PASHCHIM CHAMPARAN,Whole Year ,Sugarcane,149624,9614539
173,Karnataka,TUMKUR,Whole Year ,Coconut ,149419,1283692
174,Uttar Pradesh,ALLAHABAD,Kharif     ,Rice,149419,313780
175,Uttar Pradesh,SITAPUR,Kharif     ,Sugarcane,148655,9903396
176,Uttar Pradesh,RAMPUR,Rabi       ,Wheat,147846,264644
177,Maharashtra,AKOLA,Kharif     ,Cotton(lint),147000,122600
178,Assam,NAGAON,Winter     ,Paddy,146934,270857
179,Assam,NAGAON,Winter     ,Rice,146934,270857
180,Maharashtra,KOLHAPUR,Whole Year ,Sugarcane,146300,15031600
181,Telangana ,NALGONDA,Rabi       ,Rice,145917,491594
182,Maharashtra,SATARA,Rabi       ,Jowar,145600,127100
183,Karnataka,BIJAPUR,Rabi       ,Jowar,144817,134137
184,Uttar Pradesh,PILIBHIT,Rabi       ,Wheat,144784,371371
185,Bihar,ROHTAS,Rabi       ,Wheat,144730,300101
186,Andhra Pradesh,KURNOOL,Rabi       ,Gram,143877,190205
187,Uttar Pradesh,SAMBHAL,Rabi       ,Wheat,143456,283613
188,Uttar Pradesh,LALITPUR,Kharif     ,Urad,142838,104272
189,Uttar Pradesh,HARDOI,Kharif     ,Rice,142184,279392
190,Uttar Pradesh,BALLIA,Rabi       ,Wheat,141821,321804
191,Maharashtra,CHANDRAPUR,Kharif     ,Rice,141800,106700
192,West Bengal,MALDAH,Winter     ,Rice,141455,457341
193,Uttar Pradesh,JAUNPUR,Kharif     ,Rice,140428,338993
194,Odisha,KENDUJHAR,Winter     ,Rice,140000,354000
195,Chhattisgarh,GARIYABAND,Kharif     ,Rice,139889,237276
196,West Bengal,24 PARAGANAS NORTH,Winter     ,Rice,139767,401623
197,Odisha,KALAHANDI,Winter     ,Rice,139000,338000
198,Punjab,BATHINDA,Kharif     ,Cotton(lint),139000,498000
199,Uttar Pradesh,PRATAPGARH,Rabi       ,Wheat,138562,191903
200,Maharashtra,HINGOLI,Kharif     ,Soyabean,137700,38400
201,Karnataka,HAVERI,Kharif     ,Maize,137136,382369
202,Uttar Pradesh,GHAZIPUR,Kharif     ,Rice,136673,294257
203,Uttar Pradesh,AGRA,Rabi       ,Wheat,136036,327983
204,Punjab,MUKTSAR,Kharif     ,Rice,135000,514000
205,Uttar Pradesh,GONDA,Kharif     ,Rice,134534,278485
206,Telangana ,MEDAK,Kharif     ,Cotton(lint),133703,233587
207,Uttar Pradesh,ETAH,Rabi       ,Wheat,133604,264536
208,Maharashtra,OSMANABAD,Kharif     ,Soyabean,133500,65600
209,Uttar Pradesh,DEORIA,Kharif     ,Rice,132892,266980
210,Chhattisgarh,BASTAR,Kharif     ,Rice,132393,241480
211,Chhattisgarh,DURG,Kharif     ,Rice,130467,242048
212,Assam,SONITPUR,Winter     ,Paddy,130052,266895
213,Assam,SONITPUR,Winter     ,Rice,130052,266895
214,Odisha,BALANGIR,Winter     ,Rice,130000,438000
215,Bihar,PURBI CHAMPARAN,Rabi       ,Wheat,128684,87581
216,Maharashtra,PUNE,Whole Year ,Sugarcane,127800,13833900
217,Maharashtra,BEED,Kharif     ,Bajra,127100,56200
218,West Bengal,MURSHIDABAD,Summer     ,Rice,126504,457147
219,Maharashtra,AMRAVATI,Rabi       ,Gram,126500,100400
220,Maharashtra,CHANDRAPUR,Kharif     ,Soyabean,126200,64300
221,Andhra Pradesh,KRISHNA,Rabi       ,Urad,124853,145703
222,Andhra Pradesh,VIZIANAGARAM,Whole Year ,Rice,124586,331840
223,Uttar Pradesh,RAMPUR,Kharif     ,Rice,124076,280412
224,Uttar Pradesh,SAHARANPUR,Kharif     ,Sugarcane,124052,8169569
225,Maharashtra,CHANDRAPUR,Kharif     ,Cotton(lint),123700,143900
226,Kerala,KOZHIKODE,Whole Year ,Coconut ,123066,1001000000
227,Odisha,KENDRAPARA,Winter     ,Rice,123000,175000
228,Andhra Pradesh,CHITTOOR,Kharif     ,Groundnut,122578,72811
229,Uttar Pradesh,BALLIA,Kharif     ,Rice,122464,251908
230,Uttar Pradesh,MORADABAD,Rabi       ,Wheat,122232,196916
231,Uttar Pradesh,KANPUR DEHAT,Rabi       ,Wheat,122103,203542
232,Maharashtra,AHMEDNAGAR,Whole Year ,Sugarcane,122000,11761000
233,Odisha,NABARANGPUR,Winter     ,Rice,122000,303000
234,Uttar Pradesh,BUDAUN,Kharif     ,Bajra,121780,206452
235,Uttar Pradesh,MEERUT,Kharif     ,Sugarcane,121109,9506088
236,Uttar Pradesh,AMBEDKAR NAGAR,Rabi       ,Wheat,120131,275941
237,Karnataka,BIDAR,Kharif     ,Soyabean,120020,68525
238,Odisha,CUTTACK,Winter     ,Rice,120000,301000
239,Uttar Pradesh,BASTI,Rabi       ,Wheat,119630,253855
240,Andhra Pradesh,VIZIANAGARAM,Kharif     ,Rice,119229,314526
241,Karnataka,BELGAUM,Kharif     ,Maize,119185,447468
242,Punjab,BATHINDA,Kharif     ,Rice,119000,529000
243,Uttar Pradesh,SAHARANPUR,Rabi       ,Wheat,118844,244224
244,Assam,KARBI ANGLONG,Winter     ,Paddy,118833,204222
245,Assam,KARBI ANGLONG,Winter     ,Rice,118833,204222
246,Karnataka,CHITRADURGA,Kharif     ,Groundnut,118724,77034
247,Uttar Pradesh,AMBEDKAR NAGAR,Kharif     ,Rice,118607,290706
248,Maharashtra,NANDURBAR,Kharif     ,Cotton(lint),118600,101200
249,Uttar Pradesh,KUSHI NAGAR,Kharif     ,Rice,118425,253666
250,Uttar Pradesh,AGRA,Kharif     ,Bajra,118146,246736
251,Uttar Pradesh,PILIBHIT,Kharif     ,Rice,118036,309963
252,Odisha,SUNDARGARH,Winter     ,Rice,118000,345000
253,Chhattisgarh,SURGUJA,Kharif     ,Rice,117268,206623
254,Punjab,KAPURTHALA,Kharif     ,Rice,117000,439000
255,West Bengal,NADIA,Kharif     ,Jute,116914,1817411
256,Maharashtra,NASHIK,Kharif     ,Maize,116900,309000
257,Maharashtra,DHULE,Kharif     ,Bajra,116800,97500
258,Uttar Pradesh,KUSHI NAGAR,Rabi       ,Wheat,116559,193954
259,Uttar Pradesh,BIJNOR,Rabi       ,Wheat,116552,315040
260,Maharashtra,RAIGAD,Kharif     ,Rice,116200,320700
261,Punjab,FARIDKOT,Rabi       ,Wheat,116000,558000
262,Bihar,MADHUBANI,Winter     ,Rice,115911,188450
263,Maharashtra,AHMEDNAGAR,Rabi       ,Gram,115200,85200
264,Andhra Pradesh,KURNOOL,Whole Year ,Rice,114898,444262
265,Assam,GOLAGHAT,Winter     ,Paddy,114163,256004
266,Assam,GOLAGHAT,Winter     ,Rice,114163,256004
267,Odisha,JAJAPUR,Winter     ,Rice,114000,221000
268,Punjab,BARNALA,Rabi       ,Wheat,114000,527000
269,Uttarakhand,UDAM SINGH NAGAR,Whole Year ,Rice,113632,368655
270,Maharashtra,BEED,Kharif     ,Soyabean,113400,39900
271,Uttar Pradesh,HAMIRPUR,Rabi       ,Wheat,113329,171992
272,Maharashtra,LATUR,Kharif     ,Arhar/Tur,113200,28300
273,Maharashtra,OSMANABAD,Rabi       ,Gram,112900,48700
274,Telangana ,NIZAMABAD,Kharif     ,Rice,112427,404400
275,Maharashtra,YAVATMAL,Kharif     ,Arhar/Tur,111800,25500
276,Telangana ,MAHBUBNAGAR,Kharif     ,Rice,111302,282357
277,Maharashtra,NAGPUR,Kharif     ,Cotton(lint),111300,150200
278,Maharashtra,KOLHAPUR,Kharif     ,Rice,110900,335200
279,Telangana ,MEDAK,Kharif     ,Maize,110476,170464
280,Telangana ,KHAMMAM,Kharif     ,Rice,110439,328435
281,Uttar Pradesh,FAIZABAD,Rabi       ,Wheat,110261,227138
282,Punjab,KAPURTHALA,Rabi       ,Wheat,110000,429000
283,Bihar,PASHCHIM CHAMPARAN,Winter     ,Rice,109718,289137
284,Uttarakhand,ALMORA,Whole Year ,Total foodgrain,109687,127411
285,Maharashtra,JALNA,Kharif     ,Soyabean,109300,40300
286,Chhattisgarh,KORBA,Kharif     ,Rice,109135,164065
287,Bihar,MUZAFFARPUR,Winter     ,Rice,108886,215461
288,Chhattisgarh,MUNGELI,Kharif     ,Rice,108824,220811
289,Uttar Pradesh,BALRAMPUR,Kharif     ,Rice,108030,198235
290,Punjab,BARNALA,Kharif     ,Rice,108000,507000
291,Uttar Pradesh,BULANDSHAHR,Kharif     ,Rice,107595,275551
292,Maharashtra,AURANGABAD,Rabi       ,Jowar,107100,44900
293,Chhattisgarh,SURAJPUR,Kharif     ,Rice,106865,196547
294,Punjab,FARIDKOT,Kharif     ,Rice,106000,421000
295,Telangana ,ADILABAD,Kharif     ,Soyabean,105907,87585
296,Karnataka,SHIMOGA,Kharif     ,Rice,105581,313744
297,Andhra Pradesh,VISAKHAPATANAM,Whole Year ,Rice,105428,177807
298,Andhra Pradesh,PRAKASAM,Whole Year ,Rice,105297,405915
299,Karnataka,HAVERI,Kharif     ,Cotton(lint),105249,211727
300,Karnataka,RAICHUR,Kharif     ,Cotton(lint),104970,302671
301,West Bengal,MURSHIDABAD,Rabi       ,Wheat,104907,300497
302,Karnataka,BAGALKOT,Rabi       ,Jowar,104822,102867
303,Uttar Pradesh,AURAIYA,Rabi       ,Wheat,104341,236332
304,Uttar Pradesh,BASTI,Kharif     ,Rice,104328,202814
305,Uttar Pradesh,SULTANPUR,Rabi       ,Wheat,104295,238836
306,Uttar Pradesh,RAE BARELI,Kharif     ,Rice,104251,246449
307,Uttar Pradesh,PRATAPGARH,Kharif     ,Rice,104143,235676
308,Bihar,GAYA,Winter     ,Rice,104005,335997
309,Karnataka,YADGIR,Kharif     ,Cotton(lint),103866,362752
310,Karnataka,BELGAUM,Rabi       ,Jowar,103823,114413
311,Maharashtra,AMRAVATI,Kharif     ,Arhar/Tur,103800,36800
312,Kerala,MALAPPURAM,Whole Year ,Coconut ,103691,933000000
313,Uttarakhand,UDAM SINGH NAGAR,Rabi       ,Total foodgrain,103377,300673
314,Bihar,PURBI CHAMPARAN,Autumn     ,Rice,103184,166134
315,Odisha,SAMBALPUR,Winter     ,Rice,103000,265000
316,Uttar Pradesh,KANPUR NAGAR,Rabi       ,Wheat,102753,155171
317,Assam,LAKHIMPUR,Winter     ,Paddy,102605,224011
318,Assam,LAKHIMPUR,Winter     ,Rice,102605,224011
319,Maharashtra,AHMEDNAGAR,Kharif     ,Cotton(lint),102600,96700
320,Uttar Pradesh,CHANDAULI,Kharif     ,Rice,102598,303793
321,Bihar,KAIMUR (BHABUA),Winter     ,Rice,102380,281879
322,Chhattisgarh,KABIRDHAM,Kharif     ,Rice,102157,138630
323,Uttarakhand,UDAM SINGH NAGAR,Kharif     ,Total foodgrain,101728,330581
324,Uttarakhand,UDAM SINGH NAGAR,Kharif     ,Rice,101482,330419
325,Maharashtra,OSMANABAD,Kharif     ,Arhar/Tur,101000,28600
326,Odisha,KHORDHA,Winter     ,Rice,101000,219000
327,West Bengal,HOOGHLY,Rabi       ,Potato,100745,3506137
328,Telangana ,MAHBUBNAGAR,Kharif     ,Arhar/Tur,100635,45286
329,Chhattisgarh,KONDAGAON,Kharif     ,Rice,100383,193520
330,Uttar Pradesh,BANDA,Rabi       ,Gram,100319,14054
331,Odisha,PURI,Winter     ,Rice,100000,182000
332,Bihar,BHOJPUR,Winter     ,Rice,99721,287766
333,Uttarakhand,UDAM SINGH NAGAR,Rabi       ,Wheat,99357,296321
334,Uttar Pradesh,BAREILLY,Kharif     ,Sugarcane,99211,6120128
335,Telangana ,KARIMNAGAR,Rabi       ,Rice,99151,358827
336,Uttar Pradesh,KASGANJ,Rabi       ,Wheat,98653,229467
337,Uttar Pradesh,MIRZAPUR,Rabi       ,Wheat,98339,174733
338,West Bengal,NADIA,Summer     ,Rice,98286,374824
339,Andhra Pradesh,VISAKHAPATANAM,Kharif     ,Rice,98190,159755
340,Punjab,FAZILKA,Kharif     ,Cotton(lint),98000,251000
341,Karnataka,RAICHUR,Kharif     ,Rice,97935,320982
342,Uttar Pradesh,FIROZABAD,Rabi       ,Wheat,97764,188098
343,Telangana ,NIZAMABAD,Kharif     ,Soyabean,97431,133286
344,Uttar Pradesh,AMETHI,Kharif     ,Rice,97395,147846
345,Punjab,FAZILKA,Kharif     ,Rice,97000,297000
346,Chhattisgarh,MUNGELI,Rabi       ,Khesari,96725,75108
347,Uttar Pradesh,ETAWAH,Rabi       ,Wheat,96640,164868
348,Uttar Pradesh,UNNAO,Kharif     ,Rice,96435,161818
349,Bihar,PURBI CHAMPARAN,Winter     ,Rice,96376,181633
350,Assam,SIVASAGAR,Winter     ,Paddy,95674,199785
351,Assam,SIVASAGAR,Winter     ,Rice,95674,199785
352,Karnataka,BELLARY,Kharif     ,Maize,95624,249999
353,Telangana ,WARANGAL,Kharif     ,Rice,95515,282059
354,Uttar Pradesh,CHANDAULI,Rabi       ,Wheat,95462,140204
355,Uttar Pradesh,AMETHI,Rabi       ,Wheat,95382,173595
356,Uttar Pradesh,MAU,Rabi       ,Wheat,95097,198467
357,West Bengal,NADIA,Winter     ,Rice,94963,273137
358,Maharashtra,HINGOLI,Kharif     ,Cotton(lint),94700,85400
359,Uttar Pradesh,JHANSI,Rabi       ,Peas & beans (Pulses),94681,62395
360,Maharashtra,JALGAON,Kharif     ,Maize,94600,235100
361,Uttar Pradesh,FAIZABAD,Kharif     ,Rice,94586,207805
362,Karnataka,MYSORE,Kharif     ,Rice,94359,319929
363,Andhra Pradesh,KURNOOL,Kharif     ,Groundnut,94160,67607
364,Bihar,KHAGARIA,Winter     ,Rice,13476,29511
365,Karnataka,BAGALKOT,Whole Year ,Sugarcane,93679,10234431
366,Uttar Pradesh,PILIBHIT,Kharif     ,Sugarcane,93620,6500973
367,Odisha,MALKANGIRI,Winter     ,Rice,93000,165000
368,Assam,CACHAR,Winter     ,Paddy,92895,216009
369,Assam,CACHAR,Winter     ,Rice,92895,216009
370,Chhattisgarh,BEMETARA,Rabi       ,Gram,92710,100363
371,Odisha,DHENKANAL,Winter     ,Rice,92000,312000
372,Karnataka,BAGALKOT,Rabi       ,Gram,91880,54728
373,Bihar,BANKA,Winter     ,Rice,91863,323625
374,Andhra Pradesh,KURNOOL,Kharif     ,Rice,91569,361514
375,Uttar Pradesh,AMROHA,Rabi       ,Wheat,91563,193106
376,Uttar Pradesh,MAU,Kharif     ,Rice,91396,160583
377,Maharashtra,AKOLA,Rabi       ,Gram,91100,59600
378,Telangana ,MAHBUBNAGAR,Rabi       ,Groundnut,91063,186588
379,Uttar Pradesh,SANT KABEER NAGAR,Kharif     ,Rice,90918,162561
380,Uttar Pradesh,SANT KABEER NAGAR,Rabi       ,Wheat,90522,224042
381,Uttar Pradesh,ALIGARH,Kharif     ,Rice,90420,201998
382,Uttar Pradesh,BALRAMPUR,Rabi       ,Wheat,90246,189697
383,Bihar,SIWAN,Rabi       ,Wheat,90202,171367
384,Bihar,MADHUBANI,Rabi       ,Wheat,90053,70787
385,Odisha,KORAPUT,Winter     ,Rice,90000,191000
386,Odisha,NAYAGARH,Winter     ,Rice,90000,190000
387,Maharashtra,DHULE,Kharif     ,Maize,89600,178200
388,Bihar,NALANDA,Rabi       ,Wheat,89262,184641
389,Bihar,ARARIA,Winter     ,Rice,88961,216846
390,West Bengal,MURSHIDABAD,Rabi       ,Rapeseed &Mustard,88628,104301
391,Maharashtra,NAGPUR,Rabi       ,Wheat,88500,110600
392,Bihar,MUZAFFARPUR,Rabi       ,Wheat,88358,129818
393,Maharashtra,LATUR,Kharif     ,Jowar,88300,94600
394,Maharashtra,NANDED,Kharif     ,Jowar,88300,28600
